fuente,anio,archivo_zip,archivo_dta,variable,label_dta
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R3C3,Existencias  Productos terminados  - al final del año actual
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R4C1,Existencias Productos no fabricados por el establecimiento  - al final del año a
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R4C3,Existencias Productos no fabricados por el establecimiento  - al final del año a
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R5C1,Total Inventarios al final del año anterior-
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R5C3,Total Inventarios al final del año actual
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R1C1,Valor en libros del año anterior - Terrenos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R5C1,Valor en libros del año anterior - Edificios y estructuras
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R6C1,Valor en libros del año anterior - Maquinaria y equipo Industrial
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C4R1,Valor en libros del año anterior -Equipo de informática y comunicación
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C5R1,Valor en libros del año anterior -Equipos de oficina
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R8C1,Valor en libros del año anterior -Equipo de transporte
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R10C1,Total Valor en libros del año anterior
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C2R2,Valor compra de activos - nuevos - Edificios y estructuras
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C3R2,Valor compra de activos - nuevos - Maquinaria y equipo Industrial
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C4R2,Valor compra de activos - nuevos - Equipo de informática y comunicación
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C5R2,Valor compra de activos - nuevos - Equipos de oficina
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C6R2,Valor compra de activos - nuevos - Equipo de transporte
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C7R2,Total Valor compra de activos - nuevos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C1R3,Valor compra de activos - usados - Terrenos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C2R3,Valor compra de activos - usados - Edificios y estructuras
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C3R3,Valor compra de activos - usados - Maquinaria y equipo Industrial
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C4R3,Valor compra de activos - usados - Equipo de informática y comunicación
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C5R3,Valor compra de activos - usados - Equipos de oficina
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C6R3,Valor compra de activos - usados - Equipo de transporte
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C7R3,Total Valor compra de activos - Usados
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C2R4,Costos y gastos de Producidos o construidos para uso propio - Edificios y estruc
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C3R4,Costos y gastos de Producidos o construidos para uso propio - Maquinaria y equip
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C4R4,Costos y gastos de Producidos o construidos para uso propio - Equipo de informát
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C5R4,Costos y gastos de Producidos o construidos para uso propio - Equipos de oficina
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C6R4,Costos y gastos de Producidos o construidos para uso propio -  Equipo de transpo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C7R4,Total Costos y gastos de Producidos o construidos para uso propio
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C2R5, Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indu
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C7R5,Total  Valor causado en el año por la maquinaria en montaje
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C3R6,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indus
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C4R6,Valor causado en el año por la maquinaria en montaje - Equipo de informática y c
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C5R6,Valor causado en el año por la maquinaria en montaje -  Equipos de oficina
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C7R6,Total Valor causado en el año por la maquinaria en montaje
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C2R7, Valor causado por  mejoras y reformas a los activos  - Edificios y estructuras
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C3R7, Valor causado por  mejoras y reformas a los activos  - Maquinaria y equipo Indu
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C4R7, Valor causado por  mejoras y reformas a los activos  - Equipo de informática y
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C5R7, Valor causado por  mejoras y reformas a los activos  - Equipos de oficina
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C6R7, Valor causado por  mejoras y reformas a los activos  -  Equipo de transporte
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C7R7,Total  Valor causado por  mejoras y reformas a los activos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R1C2,Total inversiones en activos fijos - Terrenos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R5C2,Total inversiones en activos fijos - Edificios y estructuras
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7R6C2,Total inversiones en activos fijos - Maquinaria y equipo Industrial
EAM,2008,EAM_2008.zip,EAM_2008.dta,C7C4R8,Total inversiones en activos fijos -Equipo de informática y comunicación
