NORDEST,n_anios,n_dptos_distintos,secuencia,patron,anio_cambio,dpto_antes,dpto_despues
144649,16,2,2009:15 | 2010:15 | 2011:5 | 2012:5 | 2013:5 | 2014:5 | 2015:5 | 2016:5 | 2017:5 | 2018:5 | 2019:5 | 2020:5 | 2021:5 | 2022:5 | 2023:5 | 2024:5,cambio_sostenido,2011,15,5
144828,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2019,11,25
144839,9,2,2009:11 | 2010:11 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:11 | 2017:11,patron_irregular,NA,NA,NA
144850,16,2,2009:11 | 2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2010,11,25
144852,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2013,11,25
144864,10,2,2010:11 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25,cambio_sostenido,2011,11,25
144872,15,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25,cambio_sostenido,2012,11,25
144873,15,2,2010:11 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2011,11,25
144895,16,2,2009:11 | 2010:11 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2011,11,25
144929,16,2,2009:11 | 2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2010,11,25
144941,16,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:11 | 2024:11,salto_aislado,2012,11,25
144944,7,2,2009:11 | 2010:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25,cambio_sostenido,2013,11,25
144945,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:11 | 2024:25,cambio_sostenido,2024,11,25
144951,16,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
144955,15,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25,cambio_sostenido,2012,11,25
144960,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:11 | 2024:25,cambio_sostenido,2024,11,25
144974,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2013,11,25
144988,15,2,2009:11 | 2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25,cambio_sostenido,2010,11,25
144992,15,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25,cambio_sostenido,2012,11,25
145000,12,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25,cambio_sostenido,2013,11,25
145009,6,2,2009:11 | 2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25,cambio_sostenido,2010,11,25
145014,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:25 | 2024:25,cambio_sostenido,2023,11,25
145017,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2013,11,25
145021,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2013,11,25
145023,8,2,2010:11 | 2011:25 | 2012:25 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11,patron_irregular,NA,NA,NA
145024,15,2,2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
145033,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2022,11,25
145037,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2021,11,25
145039,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2017,11,25
145050,16,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
145078,16,2,2009:11 | 2010:11 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2011,11,25
145104,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:25 | 2024:25,cambio_sostenido,2023,11,25
145107,16,2,2009:11 | 2010:11 | 2011:73 | 2012:73 | 2013:73 | 2014:73 | 2015:73 | 2016:73 | 2017:73 | 2018:73 | 2019:73 | 2020:73 | 2021:73 | 2022:73 | 2023:73 | 2024:73,cambio_sostenido,2011,11,73
145108,16,2,2009:11 | 2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2010,11,25
145146,16,2,2009:11 | 2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2010,11,25
145166,16,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
