variable,label_dta,descripcion_diccionario,descripcion_final,aparece_en_anios
C7C3R13,Depreciación acumulada de los activos vendidos - Maquinaria y equipo Industrial,NA,Depreciación acumulada de los activos vendidos - Maquinaria y equipo Industrial,17
C7C3R19,Leasing Financiero - Maquinaria y equipo Industrial,NA,Leasing Financiero - Maquinaria y equipo Industrial,13
C7C3R2,Valor compra de activos - nuevos - Maquinaria y equipo Industrial,NA,Valor compra de activos - nuevos - Maquinaria y equipo Industrial,17
C7C3R3,Valor compra de activos - usados - Maquinaria y equipo Industrial,NA,Valor compra de activos - usados - Maquinaria y equipo Industrial,17
C7C3R4,Costos y gastos de Producidos o construidos para uso propio - Maquinaria y equip,NA,Costos y gastos de Producidos o construidos para uso propio - Maquinaria y equip,17
C7C3R6,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indus,NA,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indus,17
C7C3R7,Valor causado por  mejoras y reformas a los activos  - Maquinaria y equipo Indu,NA,Valor causado por  mejoras y reformas a los activos  - Maquinaria y equipo Indu,17
C7C4R1,Valor en libros del año anterior -Equipo de informática y comunicación,NA,Valor en libros del año anterior -Equipo de informática y comunicación,17
C7C4R10,Valorización  causadas en el año -Equipo de informática y comunicación,NA,Valorización  causadas en el año -Equipo de informática y comunicación,17
C7C4R11,Retiros  causados -Equipo de informática y comunicación,NA,Retiros  causados -Equipo de informática y comunicación,17
C7C4R12,Valor en libros de los activos vendidos -Equipo de informática y comunicación,NA,Valor en libros de los activos vendidos -Equipo de informática y comunicación,17
C7C4R13,Depreciación acumulada de los activos vendidos -Equipo de informática y comunica,NA,Depreciación acumulada de los activos vendidos -Equipo de informática y comunica,17
C7C4R14,Valor en libros del año actual -Equipo de informática y comunicación,NA,Valor en libros del año actual -Equipo de informática y comunicación,17
C7C4R15,Depreciación causada en el año -Equipo de informática y comunicación,NA,Depreciación causada en el año -Equipo de informática y comunicación,17
